id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
eZuVlU,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,BIN1,Wald ratio,1,0.370152363,0.03836512,5.01E-22
g6KOcb,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.043293475,0.008047114,7.45E-08
GAVTWR,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTSH,Wald ratio,1,0.084304544,0.017635134,1.75E-06
gf4b3s,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APH1B,Wald ratio,1,0.321664521,0.033874405,2.19E-21
GgxwXA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DOC2A,Wald ratio,1,0.233725599,0.035184499,3.08E-11
gseJRA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A,Wald ratio,1,-0.08476951,0.016184727,1.63E-07
gvQtsf,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,WNT3,Wald ratio,1,-0.080668476,0.016270712,7.13E-07
i59hA5,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GRN,Wald ratio,1,-0.215864627,0.030742331,2.19E-12
imGP91,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,JAZF1-AS1,Wald ratio,1,0.138051499,0.029561963,3.01E-06
iXxl3z,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ACE,Wald ratio,1,-0.375528447,0.048436901,8.98E-15
l6txEl,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-2C24.7,Wald ratio,1,-0.194462936,0.038412432,4.14E-07
lNZwP9,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.16503941,0.030618171,7.04E-08
LXcCBr,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLEKHA1,Wald ratio,1,0.156749646,0.034222969,4.64E-06
M3LE1i,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-385F7.1,Wald ratio,1,-0.186718792,0.027538752,1.20E-11
mj0dmJ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SNX31,Wald ratio,1,0.051166066,0.009282339,3.54E-08
OfQ8Dv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CPSF3,Wald ratio,1,0.332593522,0.068415368,1.17E-06
OgA6n9,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.043568882,0.007965061,4.50E-08
R27mzp,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LACTB,Wald ratio,1,0.136123781,0.027629084,8.36E-07
Rc5brf,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.043573569,0.009100131,1.68E-06
RoaKWp,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF603P,Wald ratio,1,0.041750043,0.008954144,3.12E-06
rVm3UU,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHX2,Wald ratio,1,0.12729483,0.023519919,6.23E-08
SllO22,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DND1P1,Wald ratio,1,-0.048129697,0.00822521,4.87E-09
SnKhYJ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHG3,Wald ratio,1,-0.213810179,0.042685811,5.47E-07
TWpKGM,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A4P,Wald ratio,1,0.04203457,0.007876459,9.46E-08
v6HlF0,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHV2-70,Wald ratio,1,0.165378472,0.035352644,2.90E-06
wJjfrE,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.039644108,0.007368793,7.45E-08
Wuhz1U,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.126247377,0.021084083,2.13E-09
XheSEZ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NDUFS2,Wald ratio,1,-0.238838213,0.044782165,9.64E-08
Z2DY5N,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.1,Wald ratio,1,-0.078183789,0.014098716,2.93E-08
zMprWA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.065325557,0.01274872,2.99E-07
ZS2Ww6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.088169485,0.018702618,2.43E-06
ZtDAo0,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF165,Wald ratio,1,-0.103926759,0.022759686,4.96E-06
